UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Número Item Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Código do Item no Catálogo,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,6,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,7,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,8,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,9,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,10,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,11,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,12,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,14,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,15,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,16,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,18,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,19,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,26,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,27,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,28,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,29,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,30,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,31,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,46,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150233,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,32,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150725,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,33,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150725,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
120041: 0042-HOSPITAL DE AERONAUTICA DOS AFONSOS/RJ,5: PREGÃO                                            ,00001/2009,12004105000012009,34,Presencial,Publicado,Aquisição de material descartável para Aquisição de material descartável para atender a Seção de Nutrição.,150725,"A entrega do edital na Seçã o de Licitações do HAAF está condicionada, obri gatoriamente, a apresentação de um CDR virgem.",0057/HAAF/2009   ,Nacional,66,ROBERTO DE ALMEIDA TEIXEIRA CEL MED                                                           ,Ordenador de Despesas                                                                         ,15/07/2009 08:00,"Av. Mal. Fontenelle, 1628 - Campo dos Afonsos/RJ",,27/07/2009 09:30,15/07/2009,/licitacoes/id/licitacao/12004105000012009/itens
